sentimen,tweet,clean_tweet,clean_tweet_sentence
negatif,"Kata @prabowo Indonesia tidak dihargai bangsa asing!   Berita ini ðŸ‘‡ pasti hoax buatan penguasa, ya kan @rockygerung?ðŸ˜œ https://twitter.com/mediaindonesia/status/1117575436337160192?s=21Â â€¦","['kata', 'prabowo', 'indonesia', 'tidak', 'harga', 'bangsa', 'asing', 'berita', 'isu', 'bohong', 'buat', 'kuasa', 'iya', 'kan', 'rockygerung']",kata prabowo indonesia tidak harga bangsa asing berita isu bohong buat kuasa iya kan rockygerung
netral,"Batuan Langka, Tasbih Jokowi Hadiah dari Habib Luthfi Seharga Mercy?  http://dlvr.it/R2pvZVÂ ","['batu', 'langka', 'tasbih', 'jokowi', 'hadiah', 'habib', 'luthfi', 'harga', 'mercy']",batu langka tasbih jokowi hadiah habib luthfi harga mercy
netral,"Di era Jokowi, ekonomi Indonesia semakin baik. #01IndonesiaMaju #JokowiLagi #JokowiMenangTotalDebat pic.twitter.com/W2ythnxsTp","['era', 'jokowi', 'ekonomi', 'indonesia', 'makin', 'baik']",era jokowi ekonomi indonesia makin baik
positif,"Bagi Sumatera Selatan, Asian Games berdampak pd ekonomi langsung diprediksi mencapai 18,5 triliun. Indonesia maju, Jokowi hebat!","['sumatera', 'selatan', 'asian', 'games', 'dampak', 'ekonomi', 'langsung', 'prediksi', 'capai', '185', 'triliun', 'indonesia', 'maju', 'jokowi', 'hebat']",sumatera selatan asian games dampak ekonomi langsung prediksi capai 185 triliun indonesia maju jokowi hebat
negatif,"Negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat, terus masyarakatnya ngeluh karena negara ngutang, setiap negara itu pasti ngutang,  utang bisa dibayar kalo negara dapet penghasilan. Penghasilan negara itu ya dari pajak","['negara', 'hutang', 'buat', 'bangun', 'infrastruktur', 'pakai', 'masyarakat', 'terus', 'masyarakat', 'keluh', 'negara', 'hutang', 'negara', 'hutang', 'hutang', 'bayar', 'kalau', 'negara', 'hasil', 'hasil', 'negara', 'iya', 'pajak']",negara hutang buat bangun infrastruktur pakai masyarakat terus masyarakat keluh negara hutang negara hutang hutang bayar kalau negara hasil hasil negara iya pajak
netral,"Yg bisikin pak jokowi, cm mikirin perputaran duit di golongan tertentu. E-Sports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian Indonesia, bukan hal fundamental. Betul yg dikatakan prabowo, walau dgn bhs yg sederhana, tp mrpkan aspek fundamental ekonomi","['bisikin', 'pak', 'jokowi', 'cuma', 'pikir', 'putar', 'uang', 'golong', 'tentu', 'esports', 'bagi', 'kecil', 'sekian', 'besar', 'tentu', 'tumbuh', 'ekonomi', 'indonesia', 'bukan', 'fundamental', 'betul', 'kata', 'prabowo', 'bahas', 'sederhana', 'rupa', 'aspek', 'fundamental', 'ekonomi']",bisikin pak jokowi cuma pikir putar uang golong tentu esports bagi kecil sekian besar tentu tumbuh ekonomi indonesia bukan fundamental betul kata prabowo bahas sederhana rupa aspek fundamental ekonomi
positif,Masa tenang msih ngoceh aja..ttp jokowi harga mati...,"['masa', 'tenang', 'oceh', 'tetap', 'jokowi', 'harga', 'mati']",masa tenang oceh tetap jokowi harga mati
positif,"#UASdifitnahKejiBalasDiTPS   kerjasa ekonomi bilateral, multilateral kita doakan di TPS sambil dengarkan suara hati...  #UASdifitnahKejiBalasDiTPS","['kerjasa', 'ekonomi', 'bilateral', 'multilateral', 'doa', 'tps', 'dengar', 'suara', 'hati']",kerjasa ekonomi bilateral multilateral doa tps dengar suara hati
netral,"Iya bener Aa, kita MANTAP kan pilihan ke Pemimpin yg bs memberi Solusi @jokowi bukan yg menyalahkan pemimpin sebelumnya @SBYudhoyono dismash sm mas Bowo, percuma koalisi klau mengantam tmn koalisi ðŸ˜‚ & yg plg penting pilih Pemimpin yg Rajin Ibadah Wajib, Bisa NGAJI & JumatanðŸ™ðŸ‘","['iya', 'benar', 'aa', 'mantap', 'kan', 'pilih', 'pimpin', 'beri', 'solusi', 'jokowi', 'bukan', 'salah', 'pimpin', 'belum', 'sbyudhoyono', 'dismash', 'mas', 'bowo', 'percuma', 'koalisi', 'kalau', 'mengantam', 'teman', 'koalisi', 'paling', 'penting', 'pilih', 'pimpin', 'rajin', 'ibadah', 'wajib', 'aji', 'jumat']",iya benar aa mantap kan pilih pimpin beri solusi jokowi bukan salah pimpin belum sbyudhoyono dismash mas bowo percuma koalisi kalau mengantam teman koalisi paling penting pilih pimpin rajin ibadah wajib aji jumat
negatif,Prabowo-Sandi Sepakat Tak Ambil Gaji karena Negara Sedang Susah  https://www.goaceh.co/artikel/serbaserbi/2019/04/14/prabowosandi-sepakat-tak-ambil-gaji-karena-negara-sedang-susah/?utm_source=dlvr.it&utm_medium=twitterÂ â€¦ .. ... #GoAceh,"['prabowosandi', 'sepakat', 'tidak', 'ambil', 'gaji', 'negara', 'sedang', 'susah']",prabowosandi sepakat tidak ambil gaji negara sedang susah
